evidence_id,event_id,stage
E001,waf-20260706-096141,recon
E002,waf-20260706-096142,recon
E003,waf-20260706-096143,recon
E004,waf-20260706-096144,recon
E005,waf-20260706-096145,recon
E006,fw-20260706-144141,recon
E007,fw-20260706-144142,recon
E008,fw-20260706-144143,recon
E009,fw-20260706-144144,recon
E010,fw-20260706-144145,recon
E011,waf-20260706-096146,initial_access
E012,nginx-20260706-000001,initial_access
E013,oa-20260706-017559,initial_access
E014,artifact-pcap-20260706-072042,initial_access
E015,audit-web-20260706-024801,execution
E016,proxy-20260706-112001,execution
E017,artifact-pcap-20260706-072073,execution
E018,fw-20260706-144146,execution
E019,edr-20260706-010135,execution
E020,audit-web-20260706-024802,persistence
E021,nginx-20260706-000002,persistence
E022,edr-20260706-010136,persistence
E023,audit-web-20260706-024803,discovery
E024,audit-web-20260706-024804,discovery
E025,audit-web-20260706-024805,discovery
E026,audit-web-20260706-024806,discovery
E027,audit-web-20260706-024807,discovery
E028,audit-web-20260706-024808,credential_access
E029,audit-web-20260706-024809,credential_access
E030,audit-web-20260706-024810,credential_access
E031,fw-20260706-144147,lateral_movement
E032,auth-ops-20260706-016892,lateral_movement
E033,netflow-20260706-152001,lateral_movement
E034,audit-ops-20260706-024801,discovery
E035,audit-ops-20260706-024802,discovery
E036,audit-ops-20260706-024803,discovery
E037,mysql-20260706-036001,credential_use
E038,fw-20260706-144148,credential_use
E039,mysql-20260706-036002,discovery
E040,mysql-20260706-036003,discovery
E041,mysql-20260706-036004,discovery
E042,mysql-20260706-036005,discovery
E043,audit-ops-20260706-024804,credential_access
E044,audit-ops-20260706-024805,credential_access
E045,audit-ops-20260706-024806,credential_access
E046,mysql-20260706-036006,credential_access
E047,edr-20260706-010138,credential_access
E048,audit-ops-20260706-024807,credential_access
E049,gitlab-20260706-017582,credential_use
E050,netflow-20260706-152002,discovery
E051,winsec-ad-20260706-000001,credential_use
E052,winsec-ad-20260706-000002,credential_use
E053,artifact-winsec-20260706-000001,credential_use
E054,artifact-winsec-20260706-000002,credential_use
E055,gitlab-20260706-017583,discovery
E056,gitlab-20260706-017584,discovery
E057,gitlab-20260706-017585,discovery
E058,pgsql-20260706-028001,credential_use
E059,netflow-20260706-152004,credential_use
E060,sysmon-ad-20260706-000001,discovery
E061,sysmon-ad-20260706-000002,discovery
E062,sysmon-ad-20260706-000003,discovery
E063,gitlab-20260706-017586,execution
E064,jenkins-20260706-018063,execution
E065,pgsql-20260706-028002,collection
E066,pgsql-20260706-028003,collection
E067,pgsql-20260706-028004,collection
E068,winsec-win-20260706-024842,lateral_movement
E069,artifact-winsec-20260706-000003,lateral_movement
E070,winsec-win-20260706-024843,credential_use
E071,audit-ci-20260706-000001,execution
E072,edr-20260706-010139,execution
E073,sysmon-win-20260706-024801,credential_access
E074,artifact-sysmon-20260706-000001,credential_access
E075,edr-20260706-010137,credential_access
E076,audit-ci-20260706-000002,credential_access
E077,k8s-20260706-018130,credential_use
E078,k8s-20260706-018131,discovery
E079,k8s-20260706-018132,discovery
E080,k8s-20260706-018133,discovery
E081,winsec-fil-20260706-024848,collection
E082,sysmon-fil-20260706-024801,collection
E083,artifact-sysmon-20260706-000002,collection
E084,iam-20260706-018161,credential_use
E085,obj-20260706-017768,discovery
E086,sysmon-win-20260706-024802,collection
E087,netflow-20260706-152003,collection
E088,proxy-20260706-112002,exfiltration
E089,fw-20260706-144149,exfiltration
E090,obj-20260706-017769,collection
E091,audit-ops-20260706-024808,collection
E092,audit-ops-20260706-024809,collection
E093,audit-ops-20260706-024810,collection
E094,audit-ops-20260706-024811,defense_evasion
E095,audit-ops-20260706-024812,defense_evasion
E096,audit-ops-20260706-024813,defense_evasion
E097,dns-20260706-144001,exfiltration
E098,proxy-20260706-112004,exfiltration
E099,fw-20260706-144150,exfiltration
E100,ids-20260706-010047,exfiltration
E101,artifact-pcap-20260706-073875,exfiltration
